strategy_id,strategy_group,name,family_id,alpha_bucket,status,elapsed_s,cagr,monthly_sharpe,max_drawdown,MOD,calmar,win_ratio,total_return,benchmark_alpha,benchmark_beta,trade_count,avg_trade_return,median_trade_return,match_days,avg_daily_positions,max_daily_positions,latest_positions,proxy_cagr,proxy_sharpe,proxy_max_drawdown,notes,reason
stock_tech_s01_55d_trend_volume_breakout_v1,technical12,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,ok,2.35,0.46218309295236515,1.5968624342910671,-0.23879639230606753,-0.23879639230606753,1.9353882803941262,0.47793190416141235,2.5983589796538875,0.41340830453275257,0.11754032646084575,6355.0,0.0011898750319931381,-0.0012005078739193986,658.0,7.644578313253012,10.0,10.0,0.4931070079218145,1.6606211380644766,-0.2659985325606252,[],
stock_tech_s02_52w_dual_momentum_v1,technical12,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.811,0.4004948445352212,1.1665412818544985,-0.2747028385279361,-0.2747028385279361,1.4578672284895564,0.4670304683947249,2.1118005778888365,0.33859676287394525,0.14916560299912168,6617.0,-2.2553208375437324e-06,-0.002577922077921957,678.0,7.960240963855422,10.0,10.0,0.4250134392231364,1.1946411402882748,-0.28077492874961596,[],
stock_tech_s03_vcp_contraction_breakout_v1,technical12,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.754,0.06351137179776867,0.3366826139249262,-0.231228748571065,-0.231228748571065,0.2746571333318306,0.4374824388873279,0.23063390448315313,0.03764603890648967,0.06233178596089804,3559.0,-0.0014054992989889793,-0.003089598352214118,571.0,4.287951807228915,10.0,0.0,-0.13053983783414203,-0.42848840431395424,-0.5791582419544162,[],
stock_tech_s04_ma_deduct_turn_breakout_v1,technical12,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.933,0.27233198778468326,1.1184768441600614,-0.19254487756669325,-0.19254487756669325,1.4143084362553133,0.43992681439316933,1.293786224881889,0.23586178700639915,0.08253058534670402,4936.0,-0.0002519967803683786,-0.0037974683544304,714.0,5.940963855421686,10.0,6.0,0.4787451958901321,1.4514498148814097,-0.36861451224052033,[],
stock_tech_s05_first_dry_pullback_v1,technical12,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.7,0.005065084559859656,-0.691828728813786,-0.023680567304395383,-0.023680567304395383,0.21380174205114605,0.375,0.016498401212695857,0.005156588694307846,-0.0002101724655327026,64.0,0.0010429249691488209,-0.0059618794326241065,64.0,0.07710843373493977,1.0,0.0,0.04782527917152768,0.35996803099495606,-0.23114412294484477,['S5 breakout event state is implemented; stop-to-breakeven is not represented in FinLab boolean positions.'],
stock_tech_s06_nr7_inside_bar_breakout_v1,technical12,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.69,0.14730133075736873,0.8639335521887442,-0.13728538698615766,-0.13728538698615766,1.072878950930958,0.4523704031900753,0.5848458013061,0.14030210926688516,0.016643337136188315,2258.0,0.000575425796325515,-0.0034246575342466445,562.0,2.719277108433735,10.0,1.0,0.23223078702725486,0.7935875326267594,-0.4872787433391397,[],
stock_tech_s07_2b_false_break_reversal_v1,technical12,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,ok,0.613,0.0006808643604141462,-1.0685534116339952,-0.032515021422931056,-0.032515021422931056,0.020933556093959024,0.4334763948497854,0.002335789045703196,-0.0007270053216901543,0.0032969492915966405,233.0,-0.0016932838401172063,-0.0034843205574912606,166.0,0.28072289156626506,6.0,0.0,0.004075677397233468,0.10660794255497935,-0.2356451704582634,[],
stock_tech_s08_rsi2_bull_mean_reversion_v1,technical12,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,ok,0.845,-0.12938844669149874,-0.6812499624635424,-0.4828290575922981,-0.4828290575922981,-0.267974275603761,0.41529863779252535,-0.37926381918504437,-0.16611363517190555,0.08329301445703868,5736.0,-0.002162012600880897,-0.004425000000000123,682.0,6.8987951807228916,10.0,10.0,-0.14259613871733812,-0.43958414440294785,-0.48107775726550284,[],
stock_tech_s09_three_soldiers_base_breakout_v1,technical12,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.77,0.010494514577533698,-0.5543028091009696,-0.02401290552119939,-0.02401290552119939,0.4368545082222735,0.5424836601307189,0.036403919664724116,0.011016722089625865,-0.001225847320926814,310.0,0.0019555798852180536,0.002441034482758564,231.0,0.37349397590361444,5.0,0.0,0.040863333820620795,0.3168994008989336,-0.23079630233695303,[],
stock_tech_s10_island_reversal_v1,technical12,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,ok,0.583,0.08867684921849439,0.7958111460887601,-0.06954606540070729,-0.06954606540070729,1.2748974328497982,0.5437262357414449,0.15406623879242165,0.09026196220136916,-0.0028490958425180226,263.0,0.0049089634576224925,0.007017543859648923,88.0,0.3168674698795181,10.0,0.0,-0.06165439872811007,-0.25423778558475046,-0.44741499383822514,[],
