,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s03_vcp_contraction_breakout_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s05_first_dry_pullback_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,stock_tech_s07_2b_false_break_reversal_v1,stock_tech_s08_rsi2_bull_mean_reversion_v1,stock_tech_s09_three_soldiers_base_breakout_v1,stock_tech_s10_island_reversal_v1,stock_tech_s11_gap_breakout_continuation_v1,alpha_miner_pymoo_nsga3_novelty_0081,alpha_miner_pymoo_nsga3_novelty_0187,alpha_miner_pymoo_nsga3_novelty_0193,alphabuilders_multifactor_revenue_quality_momentum_v1,breakout_vol_expansion_seed_v1,defensive_accumulation_seed_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,finlab_ai_skill_quality_trend_v1,finlab_ai_skill_revenue_revision_breakout_v1,finlab_ai_skill_reversion_value_v1,trend_following_seed_v1
stock_tech_s01_55d_trend_volume_breakout_v1,1.0,0.6066836591280412,0.4302201440735551,0.4863114758432628,0.049478245066153365,0.44684348749648034,0.19181293038403596,0.501600490043552,0.14508272155552668,0.06481504775677525,0.5365976041000518,0.5318771463950581,0.5170397026048092,0.558127607879261,0.5351129419842766,0.5759212529761123,0.5464628307331663,0.5277306510947528,0.5604367417517794,0.44892260062623063,0.4287611343020071,0.5907333914901688
stock_tech_s02_52w_dual_momentum_v1,0.6066836591280412,1.0,0.4774509154154763,0.5144336659516086,0.11502469257697047,0.3835839040526295,0.2180888648716385,0.6271393927364234,0.18299819962336644,0.05954383944837149,0.5838666667832119,0.5725105461622522,0.5579127751228115,0.6088993221403385,0.5787125481045508,0.5998750002149569,0.5769114546044133,0.5663989246676093,0.589610688149727,0.5108046032992519,0.44046738966269705,0.6176085058381273
stock_tech_s03_vcp_contraction_breakout_v1,0.4302201440735551,0.4774509154154763,1.0,0.36009853487767773,0.13071025913078857,0.32676756584638017,0.1498123790293423,0.4613303217070896,0.18549724155061637,0.044657022795861784,0.4692024680256847,0.4705221217187941,0.44814439836315323,0.4821503350516763,0.46680578972965947,0.5108633001495984,0.4877558500297794,0.45992371143786875,0.4816407247095607,0.3813649051815381,0.3864826187020052,0.517690456557287
stock_tech_s04_ma_deduct_turn_breakout_v1,0.4863114758432628,0.5144336659516086,0.36009853487767773,1.0,0.06006147416585097,0.3038319852062148,0.19991336809907423,0.47463394660259717,0.12671093540330805,0.03933876210056924,0.42253391763673837,0.5113312485339452,0.5078638915761806,0.5416370777305287,0.5087883816563152,0.55681942434779,0.5315268225760644,0.5170809232009685,0.5091336357266849,0.4098666629499174,0.42246876695627456,0.5613881272284234
stock_tech_s05_first_dry_pullback_v1,0.049478245066153365,0.11502469257697047,0.13071025913078857,0.06006147416585097,1.0,0.04232976923838392,-0.02260591859310382,0.07045014737235297,0.03120181457420046,-0.011470512296900593,0.14756771084927606,0.07490756896500456,0.06907699707832568,0.07884545692868691,0.07671321796411379,0.08441099372327898,0.08653593302212532,0.07476285884511354,0.07488045358617093,0.06096739733568559,0.05930604729568715,0.08455840182315495
stock_tech_s06_nr7_inside_bar_breakout_v1,0.44684348749648034,0.3835839040526295,0.32676756584638017,0.3038319852062148,0.04232976923838392,1.0,0.1351376695472858,0.3262952345524787,0.12964177571045704,0.04961867201687704,0.3438174912726026,0.37071785548847885,0.34281905018780534,0.3848078615840454,0.383953530969582,0.40926512574524715,0.39666362157698243,0.3791909215857089,0.4049875537357664,0.32630464851638924,0.3074310588261653,0.41880032559921787
stock_tech_s07_2b_false_break_reversal_v1,0.19181293038403596,0.2180888648716385,0.1498123790293423,0.19991336809907423,-0.02260591859310382,0.1351376695472858,1.0,0.2986496258196723,0.056174963025329004,0.00010755463190842852,0.14908205235379945,0.2623359083078746,0.27462277972391164,0.26222920095558905,0.25356164137835135,0.24643104957480053,0.2390072230338936,0.26108830003542427,0.22786602838212916,0.19161728373819592,0.259780935653352,0.24918658981691683
stock_tech_s08_rsi2_bull_mean_reversion_v1,0.501600490043552,0.6271393927364234,0.4613303217070896,0.47463394660259717,0.07045014737235297,0.3262952345524787,0.2986496258196723,1.0,0.12138926686188008,0.039426136094785846,0.4759635481564814,0.5515705817900064,0.5715733293897394,0.5975646849319917,0.5482125731027392,0.538425567660843,0.5556458266906923,0.5424168242209956,0.5173015036545491,0.4055137387610345,0.46749195966445733,0.554751036632221
stock_tech_s09_three_soldiers_base_breakout_v1,0.14508272155552668,0.18299819962336644,0.18549724155061637,0.12671093540330805,0.03120181457420046,0.12964177571045704,0.056174963025329004,0.12138926686188008,1.0,-0.006570659793679694,0.1710535689724706,0.1756422451957617,0.16354817361316262,0.1566967847483919,0.14861672137434964,0.17494065225605612,0.15758059382488845,0.16497797270415748,0.1620243596179786,0.08534475582683212,0.14161053810180477,0.17585085192769906
stock_tech_s10_island_reversal_v1,0.06481504775677525,0.05954383944837149,0.044657022795861784,0.03933876210056924,-0.011470512296900593,0.04961867201687704,0.00010755463190842852,0.039426136094785846,-0.006570659793679694,1.0,0.08630950852861838,0.4080884468804553,0.4055391303756207,0.38177333705169264,0.41324655903410695,0.3352393538151913,0.3707763264727315,0.36499445824479376,0.3348682605872157,0.19404558201983235,0.4572194722275595,0.3402780185630515
