id,kind,api_key,namespace,field,group,dataset_lane,market,adoption_priority,stockvision_use,raw_rows,raw_cols,overlap_cols,coverage,avg_rank_std,status,direction_mode,direction,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,match_days,avg_daily_matches,max_daily_matches,latest_matches
finlab701_fundamental_features_營業利益_high,finlab701_single,fundamental_features:營業利益,fundamental_features,營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.2888032700884463,ok,high,1,0.723,0.4626030399160628,0.5304187280623822,1.517902119870684,2.546038406075262,-0.08361743117279596,1.7056696813968741,6.249481018618791,5.531714097019253,0.6307692307692307,10.0,10.0,402,830,10.0,10,10
finlab701_fundamental_features_營業利益_low,finlab701_single,fundamental_features:營業利益,fundamental_features,營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9356022095024616,0.2888032700884463,ok,low,-1,0.077,0.1936799467278978,0.29538224582868655,2.2763779240539646,0.8029232191713793,-0.26977314641879213,0.7350587163553071,1.8642197911937826,0.7179097334243513,0.455012853470437,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_EBITDA_high,finlab701_single,fundamental_features:EBITDA,fundamental_features,EBITDA,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315674216095,ok,high,1,0.074,0.4985845362254546,0.5558095015121424,1.280852535637118,2.8448789613906507,-0.06863151069109741,1.6459020734653853,7.606278133183285,7.263600862008993,0.6230769230769231,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_EBITDA_low,finlab701_single,fundamental_features:EBITDA,fundamental_features,EBITDA,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315674216095,ok,low,-1,0.082,-0.044531183816653996,0.0450881788816168,2.005928485568981,-0.14071683231867638,-0.3070909093696256,-0.31083720564892114,-0.5052295963412445,-0.14500505357688934,0.43958868894601544,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_營運現金流_high,finlab701_single,fundamental_features:營運現金流,fundamental_features,營運現金流,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031566787699,ok,high,1,0.079,0.48306426031393235,0.5275211962484979,0.995068827620448,2.713900932626883,-0.08861513195294657,1.751087621094918,8.841718035596235,5.4506464438372175,0.6051282051282051,10.0,10.0,402,830,10.0,10,10
finlab701_fundamental_features_營運現金流_low,finlab701_single,fundamental_features:營運現金流,fundamental_features,營運現金流,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031566787699,ok,low,-1,0.069,0.152380998631507,0.22018647834315236,1.5176736269502968,0.603493981641388,-0.09253675307273712,0.9325385732524124,1.8596794518366984,1.6465299275463847,0.5809768637532133,10.0,10.0,404,830,10.0,10,10
finlab701_fundamental_features_歸屬母公司淨利_high,finlab701_single,fundamental_features:歸屬母公司淨利,fundamental_features,歸屬母公司淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315644813487,ok,high,1,0.069,0.46423619983618036,0.5310588034404607,1.4956741491344816,2.5592377913217543,-0.08118425635699711,1.7771338565356072,6.259383793436586,5.717599010883406,0.6333333333333333,10.0,10.0,401,830,10.0,10,10
finlab701_fundamental_features_歸屬母公司淨利_low,finlab701_single,fundamental_features:歸屬母公司淨利,fundamental_features,歸屬母公司淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315644813487,ok,low,-1,0.076,0.06540836837415887,0.1486945028728659,1.8641733729613945,0.23483048638297932,-0.31118458445033426,0.30135971034694436,0.5803973332296588,0.2101847899753469,0.45103092783505155,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_折舊_high,finlab701_single,fundamental_features:折舊,fundamental_features,折舊,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9362906776608093,0.2888031751560344,ok,high,1,0.076,0.320567397151138,0.38360414136688886,1.4109361755407828,1.5237091364614064,-0.10167546280103501,1.309520907740614,4.461107351401672,3.152539097731039,0.5461538461538461,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_折舊_low,finlab701_single,fundamental_features:折舊,fundamental_features,折舊,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9362906776608093,0.2888031751560344,ok,low,-1,0.083,0.002195372391720962,0.06230525444548271,1.345424928782265,0.007327597331568514,-0.28651266605223447,-0.027625523853129854,-0.05539946835988831,0.007662124682731855,0.42780748663101603,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_流動資產_high,finlab701_single,fundamental_features:流動資產,fundamental_features,流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9065324420606012,0.28880738065587724,ok,high,1,0.076,0.3657615065506852,0.4261003289691442,1.3505492455059682,1.8228877309684761,-0.13468879043565785,1.5195939326799213,4.792722491493945,2.715403051264963,0.5769230769230769,10.0,10.0,400,830,10.0,10,10
finlab701_fundamental_features_流動資產_low,finlab701_single,fundamental_features:流動資產,fundamental_features,流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9065324420606012,0.28880738065587724,ok,low,-1,0.07,0.039604961757171875,0.08892214322857034,1.1038545261085795,0.13804264803644495,-0.18027629142164925,0.2008735252292708,0.38184089233267576,0.21967816546042726,0.4053333333333333,10.0,10.0,401,830,10.0,10,10
