api_key,namespace,field,group,dataset_lane,direction_mode,monthly_sharpe,cagr,max_drawdown,coverage,avg_rank_std,trade_count,benchmark_beta,duplicate_metric_signature_of,decision,strength_bucket
financial_statement:財務成本,financial_statement,財務成本,fundamentals,fundamental_factor_diversity,high,1.919450434494452,0.4499744219426136,-0.14908222061398868,0.9347716447184086,0.2887889599385823,400.0,1.4911928505306637,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:營業費用,financial_statement,營業費用,fundamentals,fundamental_factor_diversity,high,1.9121527812762096,0.44280343298657154,-0.085244827606064,0.9364327742865148,0.2888031563852366,402.0,1.5099591557370673,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:營業毛利,financial_statement,營業毛利,fundamentals,fundamental_factor_diversity,high,1.8932542998309072,0.4522389516344878,-0.0681530908041984,0.9364327742865148,0.28880315631230496,401.0,1.4230665629343053,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:研究發展費,financial_statement,研究發展費,fundamentals,fundamental_factor_diversity,high,1.8875440231205975,0.6212965835511346,-0.10006986248427974,0.9339410799343554,0.28683450332172167,400.0,2.066732917782988,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:繼續營業單位損益,financial_statement,繼續營業單位損益,fundamentals,fundamental_factor_diversity,high,1.849302078702925,0.4711358100708778,-0.07428056062840815,0.9364327742865148,0.28880315645046606,401.0,1.5935486337972948,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:現金及約當現金,financial_statement,現金及約當現金,fundamentals,fundamental_factor_diversity,high,1.8460564628397778,0.45120108924726665,-0.09220602615032614,0.9364327742865148,0.28880315685507896,401.0,1.505595754672629,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:本期稅前淨利_淨損,financial_statement,本期稅前淨利_淨損,fundamentals,fundamental_factor_diversity,high,1.8452229641114242,0.5050955897135225,-0.06900618485652621,0.9364327742865148,0.2888031563716889,402.0,1.6238595305832964,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:存貨,financial_statement,存貨,fundamentals,fundamental_factor_diversity,high,1.8323033325679268,0.44958335303642794,-0.12151777577070733,0.8870341832446064,0.28880990928506667,400.0,1.6218332997320535,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:期末現金及約當現金餘額,financial_statement,期末現金及約當現金餘額,fundamentals,fundamental_factor_diversity,high,1.8243789628718947,0.33616954723761716,-0.07594039088014248,0.9364327742865148,0.2888031568344883,401.0,1.4898003742448402,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:本期綜合損益總額,financial_statement,本期綜合損益總額,fundamentals,fundamental_factor_diversity,high,1.8114979591594815,0.34546337715827113,-0.07670002073906534,0.9356022095024616,0.2888032702011807,403.0,1.3432140225899047,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:綜合損益歸屬母公司,financial_statement,綜合損益歸屬母公司,fundamentals,fundamental_factor_diversity,high,1.7982423858903214,0.3538047255298187,-0.08978067941564671,0.9364327742865148,0.28880315654755484,403.0,1.3381602261354133,,keep_as_transform_candidate_not_raw_selector,very_strong
financial_statement:期初現金及約當現金餘額,financial_statement,期初現金及約當現金餘額,fundamentals,fundamental_factor_diversity,high,1.7832815860095144,0.2834019776035872,-0.07602187744574984,0.9364327742865148,0.2888028809231973,400.0,1.5512239480373473,,keep_as_transform_candidate_not_raw_selector,strong
financial_statement:管理費用,financial_statement,管理費用,fundamentals,fundamental_factor_diversity,high,1.7817344935047414,0.33236068750828696,-0.10802100279118376,0.893540607613177,0.2888093055003363,400.0,1.2735922139426084,,keep_as_transform_candidate_not_raw_selector,very_strong
